entry_date,exit_date,ticker,company_name,asset_type,exchange,entry_price,exit_price,cash_amount,shares,entry_cash,exit_cash,dividend_cash,pnl,trade_return_pct,holding_days,event_yield_real_pct,event_expected_tae_pct,recovery_rate_pct,median_recovery_days,capture_score,capture_cluster,entry_ts,exit_ts,rank_by,capital_after_close,capital_after
2025-03-28,2025-04-02,FMC,FMC CORP,Stock,NYSE,42.209999084472656,42.59000015258789,0.58,19.936566024454006,841.5224336397322,860.661558317758,11.563208294183323,19.139124678025837,2.2743451526593015,5.0,1.374082000900489,167.17997677622617,100.0,3.0,89.93261750016806,Rapido y rentable,2025-03-28,2025-04-02,capture_score,860.661558317758,860.661558317758
2025-03-31,2025-04-01,CVGW,CALAVO GROWERS INC,Stock,Nasdaq,23.989999771118164,24.170000076293945,0.2,33.6545368132719,807.3723304474809,820.1610647070737,6.730907362654381,12.788734259592843,1.5839946177626338,1.0,0.8336807082457012,152.14672925484047,100.0,2.0,89.89085142018419,Rapido y rentable,2025-03-31,2025-04-01,capture_score,820.1610647070737,820.1610647070737
2025-04-01,2025-04-02,CVBF,CVB FINANCIAL CORP,Stock,Nasdaq,18.440000534057617,18.440000534057617,0.2,44.47727987818024,820.1610647070737,829.0565206827098,8.895455975636049,8.895455975636082,1.0845986670695174,1.0,1.0845986670695131,395.87851348037225,100.0,1.0,89.55462546132387,Rapido y rentable,2025-04-01,2025-04-02,capture_score,1689.7180790004677,1689.7180790004677
2025-04-02,2025-04-03,EFAS,Global X MSCI SuperDividend EAFE ETF,ETF/Fund,,15.890000343322754,15.890000343322754,0.0686,53.16922726532589,844.8590395002338,848.5064484906352,3.6474089904013556,3.6474089904013454,0.4317180523462145,1.0,0.43171805234621574,157.57708910636873,100.0,1.0,89.33632020597213,Rapido y rentable,2025-04-02,2025-04-03,capture_score,1698.3762638914782,1698.3762638914782
2025-04-02,2025-04-03,MRSH,"MARSH & MCLENNAN COMPANIES, INC.",Stock,NYSE,243.63999938964844,244.2700042724609,0.815,3.4676532655422814,844.8590395002338,849.8698154008431,2.8261374114169593,5.0107759006092465,0.5930901684585526,1.0,0.33450993352556496,81.39741715788747,100.0,1.5,89.5484669652266,Rapido y rentable,2025-04-02,2025-04-03,capture_score,849.8698154008431,849.8698154008431
2025-04-03,2025-04-09,HBNC,HORIZON BANCORP INC /IN/,Stock,Nasdaq,13.859999656677246,13.859999656677246,0.16,61.26898650654952,849.1881319457391,858.991169786787,9.803037841047923,9.803037841047967,1.154401182996556,6.0,1.1544011829965508,76.61026032613474,100.0,5.5,88.67668385968068,Rapido y rentable,2025-04-03,2025-04-09,capture_score,858.991169786787,858.991169786787
2025-04-03,2025-05-02,MRP,"Millrose Properties, Inc.",Stock,NYSE,25.670000076293945,25.84000015258789,0.38,33.08095556766118,849.1881319457391,867.3826600318292,12.570763115711248,18.194528086090145,2.142579176701533,29.0,1.4803272258301519,77.18849106114364,100.0,7.0,88.65806884713476,Rapido y rentable,2025-04-03,2025-05-02,capture_score,867.3826600318292,867.3826600318292
2025-04-09,2025-04-17,SFD,SMITHFIELD FOODS INC,Stock,Nasdaq,19.93000030517578,20.3700008392334,0.25,43.10040926410366,858.991169786787,888.7304751971204,10.775102316025915,29.739305410333372,3.4621200375918955,8.0,1.2543903470742823,130.81499333774659,100.0,3.5,88.93245296114736,Rapido y rentable,2025-04-09,2025-04-17,capture_score,888.7304751971204,888.7304751971204
2025-04-17,2025-04-23,BK,Bank of New York Mellon Corp,Stock,NYSE,76.33999633789062,77.7300033569336,0.47,11.641741129557897,888.7304751971204,910.3841954119794,5.471618330892211,21.653720214858936,2.436477742034911,6.0,0.6156667835294616,64.20525028235814,100.0,3.5,89.12484003569179,Rapido y rentable,2025-04-17,2025-04-23,capture_score,910.3841954119794,910.3841954119794
2025-04-23,2025-04-24,AZZ,AZZ INC,Stock,NYSE,81.62999725341797,84.72000122070312,0.17,11.152569227531858,910.3841954119794,946.7416153391555,1.895936768680416,36.357419927176124,3.9936347874232565,1.0,0.20825677535212936,76.01372300352722,100.0,1.0,89.45637330226765,Rapido y rentable,2025-04-23,2025-04-24,capture_score,946.7416153391555,946.7416153391555
