dimension,segment,tickers,events,avg_recovery_rate_pct,avg_success_30d_pct,median_recovery_days,avg_dividend_yield_pct,avg_expected_tae_pct,avg_capture_score,top_ticker
sector,3825,3,29,100.0,94.44444444444446,3.0,0.094695482187519,18.467880263691864,88.21436337450568,TER
sector,3829,2,12,100.0,100.0,4.5,0.23523579074999004,17.35473850066588,88.14657399400578,ROK
sector,4991,1,6,100.0,100.0,5.5,1.3839377478418193,91.84314144768437,88.14436233283313,AES
sector,1623,3,29,97.43589743589745,97.43589743589745,3.0,0.16354336346982623,27.95423773183495,88.0349998376875,ESOA
sector,3357,2,12,100.0,100.0,3.75,0.20619749254313374,17.59343297430412,87.99972817424049,GLW
sector,1381,4,32,100.0,89.58333333333334,3.5,1.0553002996490553,149.64262477799514,87.96735025302542,PTEN
sector,3677,1,12,100.0,100.0,2.0,0.0563052441271239,10.275707053200113,87.93621254360463,BELFA
sector,1220,3,14,100.0,100.0,4.0,0.4562630269815506,24.23988586209168,87.88627265322141,CNR
sector,1731,3,18,100.0,94.44444444444446,2.5,0.05092973460898015,5.51278576898964,87.8230949363725,EME
sector,1000,2,12,100.0,100.0,6.0,0.49526468908002835,31.184152993151127,87.81508213707447,FCX
sector,3620,1,12,100.0,83.33333333333334,2.0,0.11230807587205964,20.49622384665089,87.71989984315071,WWD
sector,5000,1,6,100.0,100.0,4.0,0.21347883418170865,19.479943619080913,87.71040554384076,GWW
sector,3241,3,12,100.0,91.66666666666667,3.0,0.3282026516204204,69.28292129600587,87.68148773487007,AMRZ
sector,5065,3,29,100.0,87.77777777777779,1.0,0.5114322812013086,162.1236405559366,87.67530564666124,RELL
sector,3716,2,13,100.0,85.71428571428572,3.0,0.7762555431500793,94.44442441659298,87.64636523116482,THO
sector,5940,2,18,100.0,100.0,6.25,0.43115485127197506,27.980737480747592,87.62548149742321,ASO
sector,3334,1,6,100.0,83.33333333333334,1.5,0.2653739701208058,64.57433272939609,87.59169458675638,AA
sector,3760,1,6,100.0,100.0,8.0,0.6782099487743568,30.94332891283003,87.54694392330892,LMT
sector,3724,3,21,100.0,83.33333333333333,4.0,0.337203442146023,31.173347001036092,87.50667435864136,RTX
sector,3843,1,8,100.0,75.0,3.5,1.1856236783946281,123.64361217543977,87.39427364602008,XRAY
sector,8090,1,2,100.0,100.0,14.0,3.0155817029271343,78.62052296917172,87.33065746243538,CCEL
sector,3621,1,12,100.0,100.0,5.5,0.2791336561227887,18.524324451785066,87.28622297744415,FELE
sector,3569,3,24,100.0,95.23809523809524,5.0,0.2247418849388044,17.544155426159914,87.28307656952343,RRX
sector,3826,3,23,100.0,93.33333333333333,3.0,0.1326336881257666,31.688624356243235,87.27235235585717,BRKR
sector,4731,4,33,100.0,91.66666666666669,5.0,0.4079715507045573,28.573931167851597,87.18538323695242,EXPD
sector,7948,2,13,95.45454545454545,95.45454545454545,3.5,0.40380730623771377,40.92116988998331,87.13228459216657,CHDN
sector,7310,1,12,100.0,83.33333333333334,4.5,0.7337613034404854,59.51619461239492,87.13148972285185,NCMI
sector,3577,3,25,96.96969696969695,90.90909090909092,4.0,1.2805083433453683,95.75052656758153,87.0901570011481,IMMR
sector,7510,1,6,100.0,83.33333333333334,4.0,0.4762692566005673,43.45956966480176,87.04048080506944,R
sector,3669,2,18,100.0,91.66666666666667,4.0,0.22229833879805655,18.529479898840748,86.92581357550469,ESE
sector,4932,2,12,100.0,91.66666666666667,5.75,0.9099043898399213,77.40968950319956,86.90464052182386,SRE
sector,3674,16,180,97.91666666666667,90.625,3.5,0.41680328991288734,42.35256921349328,86.7821765456429,NVDA
sector,2111,2,12,100.0,91.66666666666667,9.25,1.2623160711146646,48.5496121046945,86.7755972056859,MO
sector,8071,2,12,100.0,91.66666666666667,5.5,0.3652969024405023,26.247773142910532,86.76006377735034,DGX
sector,3290,1,6,100.0,83.33333333333334,7.0,0.5543608674671038,28.90595951792756,86.74826884181317,OC
sector,3790,1,6,100.0,83.33333333333334,5.5,1.2461281702748674,82.69759675460483,86.69888810428102,PII
sector,3571,2,18,100.0,91.66666666666667,2.25,0.26490435142157986,82.86064399547493,86.69631811002614,DELL
sector,5010,1,12,100.0,83.33333333333334,7.5,0.9180249572986744,44.67721458853548,86.68543023870845,LKQ
sector,3350,4,30,100.0,91.66666666666667,6.0,0.41154963344700274,42.94723614802025,86.67686726501017,MLI
sector,6141,5,36,96.66666666666667,86.66666666666667,3.0,0.7643431318801934,108.47085307835138,86.59986124191195,SLM
sector,2273,1,12,100.0,83.33333333333334,4.0,0.07762555742097448,7.0833321146639205,86.59393834750642,TILE
sector,3728,1,6,100.0,83.33333333333334,6.5,0.7142240892072894,40.10642962471702,86.5850040452466,PKE
sector,3679,3,24,94.44444444444446,94.44444444444446,3.5,0.31970052324708154,33.23673034476063,86.57658489327747,ESP
sector,5990,2,12,100.0,83.33333333333333,7.0,1.1771171554621842,86.25773867694727,86.54426565544051,BBWI
sector,7900,3,24,94.44444444444446,94.44444444444446,3.0,0.5285472052162038,69.86081481548827,86.54417102672839,LUCK
sector,3822,1,5,100.0,80.0,5.0,0.23756340313977828,17.342128429203814,86.52131657573088,TT
sector,3572,3,34,94.44444444444446,94.44444444444446,1.0,0.3170443085808035,59.79325086243878,86.44119973797571,WDC
sector,5045,5,40,100.0,90.0,8.5,0.32839355016361316,20.10745759353845,86.3748867863574,CLMB
sector,2890,4,29,95.83333333333334,95.83333333333334,3.75,0.39438782308610676,41.4040619386231,86.31360717139077,OEC
sector,3460,3,30,94.44444444444446,94.44444444444446,2.5,0.2738126955080123,35.831756557837515,86.30611292308016,PKOH
sector,3585,4,26,95.83333333333334,91.66666666666666,4.0,0.26567376006744237,41.27028354908568,86.29959871512473,LII
sector,5063,1,6,100.0,83.33333333333334,6.0,0.20868708584029597,12.695131055284671,86.2109609882567,WCC
sector,3743,3,18,100.0,94.44444444444446,4.0,0.6003080556110875,65.34954860555746,86.1114135813498,GBX
sector,2750,1,6,100.0,83.33333333333334,9.0,1.3034268981195127,52.861201979291344,86.11068744121673,QUAD
sector,3523,4,23,95.83333333333334,95.83333333333334,3.75,0.263295582406823,42.14112778034144,86.0842975199105,LNN
sector,8060,2,12,100.0,83.33333333333334,3.25,0.29714689078968065,57.89019454172187,86.0143787672771,SEM
sector,2070,2,12,100.0,83.33333333333334,8.75,0.8168548473308459,40.60533764306432,85.97901158830143,BG
sector,3590,3,18,94.44444444444446,94.44444444444446,4.0,0.16158280616816786,41.91118128469063,85.83222623478179,ETN
sector,4923,4,30,95.83333333333334,95.83333333333334,5.25,0.8926710964739915,48.38062135888643,85.71514000682072,SWX
sector,3531,6,46,97.22222222222223,86.11111111111113,4.0,0.5827695896721022,31.65948355421753,85.70190444769173,AEBI
sector,2011,2,18,91.66666666666667,91.66666666666667,3.25,1.1322825374143828,116.44684277268749,85.69406537153345,SFD
sector,4922,12,72,94.44444444444446,87.50000000000001,5.75,1.3083490045904087,86.85482075263174,85.65109631920738,DTM
sector,2650,4,23,95.83333333333334,87.5,5.5,0.8499524195036793,56.57311579248002,85.62366006017695,SW
sector,5651,5,36,93.33333333333334,90.0,4.5,0.9148817344823051,91.87195658396648,85.59896524598854,GAP
sector,5712,2,8,100.0,33.33333333333333,21.5,3.0732710099620175,49.68761452763712,85.58575594983037,HVT
sector,8000,1,6,100.0,83.33333333333334,5.5,0.6107962136332669,40.53465781384407,85.58163211581261,USPH
sector,4412,3,24,94.44444444444446,88.88888888888887,7.0,1.5861147112225442,93.04787973221818,85.57944665514715,PANL
sector,3670,3,24,94.44444444444446,88.8888888888889,3.0,0.4230847662792492,85.44880117519067,85.57901901071341,VSH
sector,5500,8,58,95.83333333333334,87.5,4.25,0.383870239147174,33.1035920692931,85.5578347014979,SAH
sector,3634,1,6,100.0,66.66666666666666,9.5,0.673810954819471,25.888526158853356,85.39693024081642,HBB
sector,4941,10,120,94.23076923076923,89.35897435897435,4.5,0.6709981238399125,56.65416053243014,85.29623988771215,WTRG
sector,3412,1,6,100.0,83.33333333333334,7.5,0.8711347433217558,42.395224174992116,85.28227266171372,GEF
sector,3812,4,30,95.83333333333334,91.66666666666669,4.75,0.3724031538872292,28.88779290883503,85.27306532918101,DRS
sector,6324,4,24,95.83333333333334,91.66666666666669,5.25,0.4989187115660462,31.537434977131067,85.25633517906127,HUM
sector,1400,6,42,97.22222222222223,83.33333333333333,4.5,0.6615185805480885,181.78990038658344,85.20369807818314,HL
sector,4911,25,166,95.0,86.33333333333334,4.0,0.8206538511790594,66.43808795342426,85.19976632052949,PPL
sector,4400,4,20,91.66666666666667,91.66666666666667,4.0,0.9464118242556641,73.03706904293989,85.19866649863889,INSW
sector,3827,1,12,100.0,83.33333333333334,5.0,1.0151404169687555,74.10525043871914,85.18021355379207,KLAC
sector,2000,5,40,91.51515151515153,84.18181818181817,4.0,1.9200367898404491,153.17272271730377,85.15431077536894,CAG
sector,1540,1,3,100.0,100.0,10.0,0.0828942738768298,3.025640996504287,85.14834006166153,TPC
sector,6519,1,36,94.44444444444444,88.88888888888889,4.0,0.7766047867949363,66.92823197309139,85.10876169927187,GOOD
sector,7361,1,5,100.0,80.0,11.0,0.7152406600958738,23.732985539544906,84.95597247626557,KFY
sector,7371,2,22,91.66666666666667,91.66666666666667,3.5,0.3842792187465059,37.437429179676336,84.93980985172897,VRSN
sector,7340,2,12,100.0,83.33333333333334,6.75,0.4519878783035843,28.36658411706066,84.92078255988542,ABM
sector,5070,2,12,91.66666666666667,83.33333333333334,2.0,0.5499993426755884,130.54106178617977,84.90493536966258,FERG
sector,3640,2,18,91.66666666666667,91.66666666666667,3.25,0.15352227431337365,17.446337099076082,84.89960070475158,LYTS
sector,2870,4,24,95.83333333333334,83.33333333333334,2.0,1.3062006813989173,165.9197123376739,84.83271334785817,CF
sector,3540,2,16,90.0,90.0,2.5,0.2939752566225643,38.78382744002518,84.80609417571947,LECO
sector,3442,1,6,100.0,83.33333333333334,9.5,0.2572241089100717,9.88282102654486,84.72827842077079,GFF
sector,3420,7,55,95.578231292517,84.01360544217688,5.0,0.7683905542232843,76.26369453824304,84.67292575174444,EML
sector,6321,4,30,100.0,83.33333333333333,5.75,0.6095417690307728,32.998135973848946,84.6568450258924,UNM
sector,4512,2,12,91.66666666666667,83.33333333333334,2.5,0.3955434515872303,66.74348542883119,84.63618293213358,LUV
sector,3600,4,23,95.83333333333334,83.33333333333334,4.75,0.27098482306507005,15.244898028687558,84.58040426401543,GE
sector,3470,2,16,100.0,80.0,11.0,0.19985826810626356,35.63439973040131,84.56833637963874,AZZ
sector,2800,7,35,92.85714285714286,85.7142857142857,4.5,0.8341620364521237,62.65088613995622,84.5190347622412,BCPC
sector,8711,3,30,94.44444444444446,83.33333333333333,2.0,0.1776917885171363,28.828387857930284,84.48135283200332,VSEC
sector,2851,2,12,91.66666666666667,91.66666666666667,4.5,0.5534792222036438,41.37195753487872,84.38976011984306,RPM
sector,2300,6,54,91.66666666666667,83.33333333333333,3.0,0.8725833541474004,134.33214574398815,84.32670313448529,CRI
sector,3580,2,12,91.66666666666667,91.66666666666667,4.25,0.2764069416837571,33.61021959062189,84.29109961388484,TNC
